item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM000060,TXN000022,PROD0418,1,1819.84,10,1637.86
ITEM000061,TXN000022,PROD0350,2,4509.69,5,8568.41
ITEM000062,TXN000022,PROD0420,1,2944.5,15,2502.82
ITEM000063,TXN000023,PROD0395,1,521.9,10,469.71
ITEM000064,TXN000023,PROD0368,3,1326.79,10,3582.33
ITEM000065,TXN000023,PROD0441,4,1039.44,5,3949.87
ITEM000066,TXN000023,PROD0055,1,3563.88,0,3563.88
ITEM000067,TXN000024,PROD0442,3,2214.55,5,6311.47
ITEM000068,TXN000024,PROD0171,3,4637.49,5,13216.85
ITEM000069,TXN000025,PROD0275,4,226.77,10,816.37
ITEM000070,TXN000025,PROD0020,1,762.35,5,724.23
ITEM000071,TXN000025,PROD0211,4,4999.27,10,17997.37
ITEM000072,TXN000025,PROD0369,4,3957.37,10,14246.53
ITEM000073,TXN000026,PROD0347,2,2742.06,0,5484.12
ITEM000074,TXN000026,PROD0470,1,784.4,10,705.96
ITEM000075,TXN000027,PROD0459,3,3303.94,15,8425.05
ITEM000076,TXN000027,PROD0113,4,4558.32,5,17321.62
ITEM000077,TXN000027,PROD0319,2,2986.35,10,5375.43
ITEM000078,TXN000027,PROD0354,3,448.51,5,1278.25
ITEM000079,TXN000027,PROD0396,2,4902.49,0,9804.98
ITEM000080,TXN000028,PROD0182,4,3702.62,10,13329.43
ITEM000081,TXN000028,PROD0331,4,4998.39,5,18993.88
ITEM000082,TXN000028,PROD0214,2,3588.8,15,6100.96
ITEM000083,TXN000029,PROD0059,4,881.7,10,3174.12
ITEM000084,TXN000029,PROD0355,3,2456.91,10,6633.66
ITEM000085,TXN000030,PROD0339,1,4398.92,15,3739.08
ITEM000086,TXN000030,PROD0455,3,678.4,5,1933.44
ITEM000087,TXN000030,PROD0334,2,4566.68,15,7763.36
ITEM000088,TXN000030,PROD0348,3,1733.98,5,4941.84
ITEM000089,TXN000031,PROD0272,4,1101.87,5,4187.11
ITEM000090,TXN000031,PROD0275,2,226.77,5,430.86
ITEM000091,TXN000031,PROD0382,2,4522.09,0,9044.18
ITEM000092,TXN000031,PROD0280,3,3125.97,15,7971.22
ITEM000093,TXN000031,PROD0063,4,4593.68,15,15618.51
ITEM000094,TXN000032,PROD0180,1,2836.83,10,2553.15
ITEM000095,TXN000032,PROD0453,3,2464.49,5,7023.8
ITEM000096,TXN000032,PROD0189,2,1095.86,5,2082.13
ITEM000097,TXN000032,PROD0242,4,4600.7,15,15642.38
ITEM000098,TXN000033,PROD0074,3,3809.77,15,9714.91
ITEM000099,TXN000034,PROD0128,2,3954.54,5,7513.63
ITEM000100,TXN000035,PROD0365,4,4532.56,10,16317.22
ITEM000101,TXN000035,PROD0105,4,3578.77,0,14315.08
ITEM000102,TXN000035,PROD0017,4,3418.85,10,12307.86
ITEM000103,TXN000035,PROD0139,4,2484.57,5,9441.37
ITEM000104,TXN000035,PROD0152,2,3120.12,5,5928.23
ITEM000105,TXN000036,PROD0435,3,4057.47,5,11563.79
ITEM000106,TXN000036,PROD0405,1,1155.5,5,1097.72
ITEM000107,TXN000036,PROD0077,3,3825.76,5,10903.42
ITEM000108,TXN000036,PROD0458,1,3034.34,15,2579.19
ITEM000109,TXN000037,PROD0008,4,4007.66,10,14427.58
ITEM000110,TXN000037,PROD0374,4,4476.11,10,16114.0
ITEM000111,TXN000037,PROD0326,1,1790.07,0,1790.07
ITEM000112,TXN000038,PROD0081,4,3480.91,5,13227.46
ITEM000113,TXN000038,PROD0493,2,1794.23,10,3229.61
ITEM000114,TXN000038,PROD0253,3,3122.32,5,8898.61
ITEM000115,TXN000038,PROD0203,1,401.97,10,361.77
ITEM000116,TXN000038,PROD0404,1,2882.44,0,2882.44
ITEM000117,TXN000039,PROD0400,2,1642.71,0,3285.42
ITEM000118,TXN000039,PROD0302,3,2716.9,10,7335.63
ITEM000119,TXN000039,PROD0367,1,303.3,10,272.97
ITEM000120,TXN000040,PROD0411,2,1980.57,10,3565.03
ITEM000121,TXN000040,PROD0415,4,2471.3,15,8402.42
ITEM000122,TXN000040,PROD0336,4,1130.48,10,4069.73
ITEM000123,TXN000041,PROD0189,2,1095.86,10,1972.55
ITEM000124,TXN000041,PROD0264,4,1970.12,0,7880.48
ITEM000125,TXN000041,PROD0176,2,3945.47,5,7496.39
ITEM000126,TXN000042,PROD0313,4,2244.12,15,7630.01
ITEM000127,TXN000042,PROD0108,3,629.32,10,1699.16
ITEM000128,TXN000042,PROD0311,1,4030.14,15,3425.62
ITEM000129,TXN000042,PROD0153,4,692.92,5,2633.1
ITEM000130,TXN000043,PROD0415,2,2471.3,0,4942.6
ITEM000131,TXN000043,PROD0132,2,4395.03,5,8350.56
ITEM000132,TXN000044,PROD0474,4,4573.42,0,18293.68
ITEM000133,TXN000045,PROD0181,4,4393.46,10,15816.46
ITEM000134,TXN000045,PROD0077,3,3825.76,10,10329.55
ITEM000135,TXN000046,PROD0206,4,904.31,0,3617.24
ITEM000136,TXN000046,PROD0359,2,486.59,15,827.2
ITEM000137,TXN000046,PROD0085,2,1351.23,0,2702.46
ITEM000138,TXN000047,PROD0033,2,4770.17,5,9063.32
ITEM000139,TXN000048,PROD0117,1,874.18,5,830.47
ITEM000140,TXN000049,PROD0209,4,3277.53,5,12454.61
ITEM000141,TXN000049,PROD0281,3,1849.62,0,5548.86
ITEM000142,TXN000049,PROD0284,3,1990.23,10,5373.62
ITEM000143,TXN000049,PROD0235,2,2878.4,15,4893.28
ITEM000144,TXN000049,PROD0193,3,1837.55,5,5237.02
ITEM000145,TXN000050,PROD0423,2,4956.03,0,9912.06
ITEM000146,TXN000050,PROD0363,1,3737.49,15,3176.87
ITEM000147,TXN000050,PROD0165,4,433.18,10,1559.45
ITEM000148,TXN000050,PROD0065,2,657.91,10,1184.24
ITEM000149,TXN000050,PROD0271,2,4091.67,10,7365.01
ITEM000150,TXN000051,PROD0493,1,1794.23,5,1704.52
ITEM000151,TXN000052,PROD0458,4,3034.34,0,12137.36
ITEM000152,TXN000052,PROD0301,3,4083.55,15,10413.05
ITEM000153,TXN000052,PROD0494,1,4566.37,10,4109.73
ITEM000154,TXN000052,PROD0395,3,521.9,0,1565.7
ITEM000155,TXN000052,PROD0349,4,4529.74,15,15401.12
ITEM000156,TXN000053,PROD0115,1,3347.43,10,3012.69
ITEM000157,TXN000053,PROD0062,1,2451.93,0,2451.93
ITEM000158,TXN000054,PROD0367,3,303.3,0,909.9
ITEM000159,TXN000054,PROD0264,3,1970.12,5,5614.84
ITEM000160,TXN000055,PROD0147,1,2921.38,15,2483.17
ITEM000161,TXN000055,PROD0445,1,2111.17,15,1794.49
ITEM000162,TXN000055,PROD0079,3,4535.14,0,13605.42
ITEM000163,TXN000056,PROD0137,1,3319.83,10,2987.85
ITEM000164,TXN000056,PROD0449,2,4994.12,0,9988.24
ITEM000165,TXN000056,PROD0064,4,2585.14,15,8789.48
ITEM000166,TXN000056,PROD0071,2,4395.61,5,8351.66
ITEM000167,TXN000057,PROD0128,1,3954.54,15,3361.36
ITEM000168,TXN000057,PROD0443,1,271.03,15,230.38
ITEM000169,TXN000057,PROD0320,3,1466.11,10,3958.5
ITEM000170,TXN000057,PROD0452,4,1707.89,0,6831.56
ITEM000171,TXN000057,PROD0066,2,4604.07,15,7826.92
ITEM000172,TXN000058,PROD0276,1,2523.57,10,2271.21
ITEM000173,TXN000058,PROD0420,1,2944.5,15,2502.82
ITEM000174,TXN000059,PROD0497,4,2326.57,10,8375.65
ITEM000175,TXN000059,PROD0137,4,3319.83,15,11287.42
ITEM000176,TXN000059,PROD0341,3,2131.34,0,6394.02
ITEM000177,TXN000059,PROD0204,3,3901.12,10,10533.02
ITEM000178,TXN000060,PROD0220,1,4638.06,5,4406.16
ITEM000179,TXN000060,PROD0149,4,3419.34,10,12309.62
ITEM000180,TXN000060,PROD0417,2,4526.34,5,8600.05
ITEM000181,TXN000061,PROD0318,4,2395.21,15,8143.71
ITEM000182,TXN000062,PROD0433,4,4929.55,15,16760.47
ITEM000183,TXN000063,PROD0391,4,619.12,0,2476.48
ITEM000184,TXN000063,PROD0070,2,2858.9,15,4860.13
ITEM000185,TXN000063,PROD0469,4,4145.03,10,14922.11
ITEM000186,TXN000063,PROD0172,1,4185.45,0,4185.45
ITEM000187,TXN000063,PROD0154,4,1585.98,0,6343.92
ITEM000188,TXN000064,PROD0103,1,3232.8,5,3071.16
ITEM000189,TXN000065,PROD0055,4,3563.88,0,14255.52
ITEM000190,TXN000065,PROD0232,1,3909.91,0,3909.91
ITEM000191,TXN000066,PROD0062,3,2451.93,5,6988.0
ITEM000192,TXN000066,PROD0250,2,976.96,5,1856.22
ITEM000193,TXN000066,PROD0344,2,2928.9,5,5564.91
ITEM000194,TXN000067,PROD0102,1,2957.76,5,2809.87
ITEM000195,TXN000067,PROD0007,2,2514.73,5,4777.99
ITEM000196,TXN000067,PROD0044,4,1927.92,10,6940.51
ITEM000197,TXN000067,PROD0296,2,4810.05,5,9139.09
ITEM000198,TXN000068,PROD0458,3,3034.34,10,8192.72
ITEM000199,TXN000068,PROD0036,4,520.65,10,1874.34
ITEM000200,TXN000069,PROD0269,4,3376.43,15,11479.86
ITEM000201,TXN000070,PROD0099,2,2346.12,0,4692.24
ITEM000202,TXN000071,PROD0275,2,226.77,0,453.54
ITEM000203,TXN000071,PROD0222,4,1082.35,10,3896.46
ITEM000204,TXN000071,PROD0271,3,4091.67,10,11047.51
ITEM000205,TXN000071,PROD0152,4,3120.12,5,11856.46
ITEM000206,TXN000072,PROD0237,1,2045.68,0,2045.68
ITEM000207,TXN000072,PROD0115,4,3347.43,15,11381.26
ITEM000208,TXN000073,PROD0074,3,3809.77,10,10286.38
ITEM000209,TXN000073,PROD0292,2,2088.1,5,3967.39
ITEM000210,TXN000073,PROD0140,3,3815.97,15,9730.72
ITEM000211,TXN000074,PROD0391,4,619.12,0,2476.48
ITEM000212,TXN000074,PROD0180,4,2836.83,5,10779.95
ITEM000213,TXN000074,PROD0122,2,717.54,15,1219.82
ITEM000214,TXN000075,PROD0302,3,2716.9,5,7743.16
ITEM000215,TXN000076,PROD0170,2,849.83,0,1699.66
ITEM000216,TXN000076,PROD0221,4,3212.08,5,12205.9
ITEM000217,TXN000076,PROD0094,4,4665.7,10,16796.52
ITEM000218,TXN000076,PROD0017,3,3418.85,10,9230.9
ITEM000219,TXN000076,PROD0031,4,3501.36,15,11904.62
ITEM000220,TXN000077,PROD0130,3,1068.63,0,3205.89
ITEM000221,TXN000077,PROD0274,3,1877.06,15,4786.5
ITEM000222,TXN000077,PROD0199,3,3212.14,10,8672.78
ITEM000223,TXN000078,PROD0372,3,1913.9,10,5167.53
ITEM000224,TXN000078,PROD0174,1,4672.3,15,3971.45
ITEM000225,TXN000078,PROD0115,1,3347.43,0,3347.43
ITEM000226,TXN000078,PROD0493,1,1794.23,5,1704.52
ITEM000227,TXN000079,PROD0050,3,1652.83,15,4214.72
ITEM000228,TXN000079,PROD0367,4,303.3,10,1091.88
ITEM000229,TXN000079,PROD0253,3,3122.32,10,8430.26
ITEM000230,TXN000079,PROD0025,4,2468.54,0,9874.16
ITEM000231,TXN000080,PROD0328,3,3241.55,0,9724.65
ITEM000232,TXN000080,PROD0390,1,832.31,10,749.08
ITEM000233,TXN000081,PROD0446,1,3183.25,5,3024.09
ITEM000234,TXN000081,PROD0439,2,1706.85,0,3413.7
ITEM000235,TXN000081,PROD0068,3,1883.46,0,5650.38
ITEM000236,TXN000081,PROD0463,4,3614.46,15,12289.16
ITEM000237,TXN000081,PROD0291,3,2770.44,5,7895.75
ITEM000238,TXN000082,PROD0380,3,4835.57,0,14506.71
ITEM000239,TXN000082,PROD0300,3,1565.51,10,4226.88
ITEM000240,TXN000082,PROD0192,3,3405.62,15,8684.33
ITEM000241,TXN000082,PROD0412,4,2797.31,10,10070.32
ITEM000242,TXN000083,PROD0038,4,4782.04,10,17215.34
ITEM000243,TXN000083,PROD0149,1,3419.34,10,3077.41
ITEM000244,TXN000083,PROD0117,1,874.18,15,743.05
ITEM000245,TXN000083,PROD0464,1,528.71,5,502.27
ITEM000246,TXN000083,PROD0028,4,3684.81,15,12528.35
ITEM000247,TXN000084,PROD0339,1,4398.92,10,3959.03
ITEM000248,TXN000084,PROD0114,1,1018.09,0,1018.09
ITEM000249,TXN000084,PROD0458,2,3034.34,5,5765.25
ITEM000250,TXN000085,PROD0001,2,1731.77,10,3117.19
ITEM000251,TXN000085,PROD0288,2,4630.06,5,8797.11
ITEM000252,TXN000085,PROD0330,2,1657.57,5,3149.38
ITEM000253,TXN000085,PROD0390,3,832.31,10,2247.24
ITEM000254,TXN000086,PROD0106,3,1295.1,5,3691.03
ITEM000255,TXN000086,PROD0455,4,678.4,10,2442.24
ITEM000256,TXN000086,PROD0174,1,4672.3,0,4672.3
ITEM000257,TXN000087,PROD0005,2,2191.69,5,4164.21
ITEM000258,TXN000088,PROD0225,2,3174.82,15,5397.19
ITEM000259,TXN000088,PROD0027,4,899.04,5,3416.35
ITEM000260,TXN000089,PROD0445,2,2111.17,15,3588.99
ITEM000261,TXN000089,PROD0466,1,3065.73,10,2759.16
ITEM000262,TXN000089,PROD0420,3,2944.5,10,7950.15
ITEM000263,TXN000089,PROD0238,3,1537.85,10,4152.19
ITEM000264,TXN000090,PROD0182,2,3702.62,15,6294.45
ITEM000265,TXN000091,PROD0490,1,706.62,10,635.96
ITEM000266,TXN000092,PROD0464,3,528.71,0,1586.13
ITEM000267,TXN000092,PROD0439,2,1706.85,15,2901.64
ITEM000268,TXN000092,PROD0443,1,271.03,5,257.48
ITEM000269,TXN000092,PROD0286,3,1419.44,5,4045.4
ITEM000270,TXN000093,PROD0448,3,1602.43,0,4807.29
ITEM000271,TXN000093,PROD0320,3,1466.11,5,4178.41
ITEM000272,TXN000093,PROD0462,3,4728.48,15,12057.62
ITEM000273,TXN000093,PROD0416,2,1847.73,10,3325.91
ITEM000274,TXN000093,PROD0238,4,1537.85,5,5843.83
ITEM000275,TXN000094,PROD0267,4,4688.48,10,16878.53
ITEM000276,TXN000094,PROD0262,3,765.52,5,2181.73
ITEM000277,TXN000094,PROD0100,3,2986.12,0,8958.36
ITEM000278,TXN000095,PROD0287,1,1579.98,5,1500.98
ITEM000279,TXN000095,PROD0318,4,2395.21,0,9580.84
ITEM000280,TXN000095,PROD0037,4,2352.08,10,8467.49
ITEM000281,TXN000095,PROD0034,2,887.15,5,1685.58
ITEM000282,TXN000096,PROD0223,4,2555.03,5,9709.11
ITEM000283,TXN000096,PROD0462,1,4728.48,0,4728.48
ITEM000284,TXN000096,PROD0059,2,881.7,10,1587.06
ITEM000285,TXN000096,PROD0126,2,3745.59,15,6367.5
ITEM000286,TXN000097,PROD0498,4,4171.66,10,15017.98
ITEM000287,TXN000097,PROD0418,4,1819.84,5,6915.39
ITEM000288,TXN000098,PROD0081,4,3480.91,10,12531.28
ITEM000289,TXN000099,PROD0443,3,271.03,5,772.44
ITEM000290,TXN000099,PROD0275,3,226.77,10,612.28
ITEM000291,TXN000099,PROD0033,2,4770.17,0,9540.34
ITEM000292,TXN000099,PROD0487,4,409.63,5,1556.59
ITEM000293,TXN000099,PROD0084,3,1290.66,10,3484.78
ITEM000294,TXN000100,PROD0136,2,2904.27,0,5808.54
ITEM000295,TXN000100,PROD0056,2,2879.09,15,4894.45
ITEM000296,TXN000100,PROD0231,1,4860.69,10,4374.62
ITEM000297,TXN000101,PROD0373,4,3222.86,15,10957.72
ITEM000298,TXN000101,PROD0380,2,4835.57,10,8704.03
ITEM000299,TXN000101,PROD0258,3,3067.33,5,8741.89
ITEM000300,TXN000101,PROD0040,1,442.12,15,375.8
ITEM000301,TXN000102,PROD0071,4,4395.61,0,17582.44
ITEM000302,TXN000102,PROD0333,2,3165.65,5,6014.73
ITEM000303,TXN000102,PROD0226,4,2053.25,0,8213.0
ITEM000304,TXN000102,PROD0018,1,2974.88,5,2826.14
ITEM000305,TXN000102,PROD0009,2,3280.5,15,5576.85
ITEM000306,TXN000103,PROD0196,2,1340.99,15,2279.68
ITEM000307,TXN000103,PROD0152,1,3120.12,15,2652.1
ITEM000308,TXN000103,PROD0318,4,2395.21,10,8622.76
ITEM000309,TXN000103,PROD0080,2,1986.99,5,3775.28
ITEM000310,TXN000103,PROD0303,3,1843.99,0,5531.97
ITEM000311,TXN000104,PROD0461,1,3647.23,15,3100.15
ITEM000312,TXN000105,PROD0151,4,2021.5,5,7681.7
ITEM000313,TXN000105,PROD0063,1,4593.68,15,3904.63
ITEM000314,TXN000105,PROD0202,4,301.64,10,1085.9
ITEM000315,TXN000105,PROD0131,2,726.32,10,1307.38
ITEM000316,TXN000106,PROD0151,3,2021.5,0,6064.5
ITEM000317,TXN000106,PROD0132,1,4395.03,15,3735.78
ITEM000318,TXN000106,PROD0270,4,2046.68,5,7777.38
ITEM000319,TXN000106,PROD0064,3,2585.14,10,6979.88
ITEM000320,TXN000106,PROD0058,1,1224.45,15,1040.78
ITEM000321,TXN000107,PROD0435,3,4057.47,10,10955.17
ITEM000322,TXN000107,PROD0473,3,215.47,10,581.77
ITEM000323,TXN000108,PROD0128,4,3954.54,0,15818.16
ITEM000324,TXN000108,PROD0416,3,1847.73,15,4711.71
ITEM000325,TXN000108,PROD0290,3,1762.0,5,5021.7
ITEM000326,TXN000108,PROD0483,1,3637.11,15,3091.54
ITEM000327,TXN000109,PROD0091,4,2561.55,10,9221.58
ITEM000328,TXN000109,PROD0263,2,218.7,10,393.66
ITEM000329,TXN000109,PROD0092,3,2307.26,10,6229.6
ITEM000330,TXN000110,PROD0187,4,3293.79,0,13175.16
ITEM000331,TXN000110,PROD0290,4,1762.0,10,6343.2
ITEM000332,TXN000110,PROD0173,3,2073.48,0,6220.44
ITEM000333,TXN000110,PROD0454,3,4532.19,5,12916.74
ITEM000334,TXN000110,PROD0103,2,3232.8,0,6465.6
ITEM000335,TXN000111,PROD0294,2,2036.72,0,4073.44
ITEM000336,TXN000111,PROD0235,1,2878.4,0,2878.4
ITEM000337,TXN000112,PROD0361,4,2572.3,15,8745.82
ITEM000338,TXN000112,PROD0407,3,711.36,0,2134.08
ITEM000339,TXN000112,PROD0112,3,3875.12,10,10462.82
ITEM000340,TXN000112,PROD0382,4,4522.09,5,17183.94
ITEM000341,TXN000112,PROD0452,3,1707.89,5,4867.49
ITEM000342,TXN000113,PROD0208,1,2379.26,15,2022.37
ITEM000343,TXN000114,PROD0106,4,1295.1,15,4403.34
ITEM000344,TXN000114,PROD0227,1,3107.84,15,2641.66
ITEM000345,TXN000114,PROD0346,3,1114.74,15,2842.59
ITEM000346,TXN000115,PROD0109,4,3887.4,10,13994.64
ITEM000347,TXN000115,PROD0380,1,4835.57,15,4110.23
ITEM000348,TXN000115,PROD0168,2,1875.38,15,3188.15
ITEM000349,TXN000115,PROD0145,3,1090.67,0,3272.01
ITEM000350,TXN000116,PROD0244,2,4712.02,10,8481.64
ITEM000351,TXN000116,PROD0401,4,3312.82,0,13251.28
ITEM000352,TXN000116,PROD0136,2,2904.27,5,5518.11
ITEM000353,TXN000117,PROD0477,1,1854.51,10,1669.06
ITEM000354,TXN000117,PROD0369,3,3957.37,0,11872.11
ITEM000355,TXN000117,PROD0404,4,2882.44,10,10376.78
ITEM000356,TXN000117,PROD0492,2,2499.63,5,4749.3
ITEM000357,TXN000118,PROD0246,3,2408.63,5,6864.6
ITEM000358,TXN000119,PROD0315,3,3414.63,5,9731.7
ITEM000359,TXN000119,PROD0175,3,562.01,15,1433.13
ITEM000360,TXN000120,PROD0271,2,4091.67,10,7365.01
ITEM000361,TXN000121,PROD0498,2,4171.66,5,7926.15
ITEM000362,TXN000121,PROD0276,1,2523.57,15,2145.03
ITEM000363,TXN000121,PROD0238,3,1537.85,10,4152.19
ITEM000364,TXN000121,PROD0471,4,2504.76,15,8516.18
ITEM000365,TXN000121,PROD0110,4,4195.54,5,15943.05
ITEM000366,TXN000122,PROD0490,3,706.62,15,1801.88
ITEM000367,TXN000122,PROD0228,1,4683.38,10,4215.04
ITEM000368,TXN000122,PROD0111,2,4431.71,0,8863.42
ITEM000369,TXN000122,PROD0332,2,3496.49,15,5944.03
ITEM000370,TXN000122,PROD0329,1,2127.49,10,1914.74
ITEM000371,TXN000123,PROD0464,2,528.71,10,951.68
ITEM000372,TXN000124,PROD0182,3,3702.62,15,9441.68
ITEM000373,TXN000124,PROD0479,1,1773.89,10,1596.5
ITEM000374,TXN000124,PROD0172,3,4185.45,10,11300.71
ITEM000375,TXN000124,PROD0074,2,3809.77,0,7619.54
ITEM000376,TXN000125,PROD0422,4,4807.12,0,19228.48
ITEM000377,TXN000125,PROD0016,3,3798.85,0,11396.55
ITEM000378,TXN000126,PROD0066,3,4604.07,5,13121.6
ITEM000379,TXN000126,PROD0354,4,448.51,15,1524.93
ITEM000380,TXN000126,PROD0198,2,3162.35,15,5375.99
ITEM000381,TXN000126,PROD0270,3,2046.68,5,5833.04
ITEM000382,TXN000126,PROD0385,1,4007.8,15,3406.63
ITEM000383,TXN000127,PROD0421,4,1058.7,0,4234.8
ITEM000384,TXN000127,PROD0045,3,1273.92,10,3439.58
ITEM000385,TXN000127,PROD0499,3,4414.28,0,13242.84
ITEM000386,TXN000127,PROD0440,3,938.33,10,2533.49
ITEM000387,TXN000127,PROD0227,1,3107.84,15,2641.66
ITEM000388,TXN000128,PROD0179,4,4328.63,15,14717.34
ITEM000389,TXN000129,PROD0315,3,3414.63,0,10243.89
ITEM000390,TXN000130,PROD0157,1,4811.82,0,4811.82
ITEM000391,TXN000130,PROD0382,4,4522.09,10,16279.52
ITEM000392,TXN000130,PROD0127,2,2970.94,5,5644.79
ITEM000393,TXN000130,PROD0494,4,4566.37,0,18265.48
ITEM000394,TXN000131,PROD0240,4,2250.14,0,9000.56
ITEM000395,TXN000131,PROD0220,3,4638.06,10,12522.76
ITEM000396,TXN000131,PROD0188,3,2280.02,0,6840.06
ITEM000397,TXN000132,PROD0339,3,4398.92,0,13196.76
ITEM000398,TXN000133,PROD0321,4,2895.57,15,9844.94
ITEM000399,TXN000134,PROD0187,4,3293.79,15,11198.89
ITEM000400,TXN000134,PROD0324,2,2977.15,5,5656.59
ITEM000401,TXN000134,PROD0476,4,2103.22,10,7571.59
ITEM000402,TXN000134,PROD0205,1,4039.25,0,4039.25
ITEM000403,TXN000135,PROD0267,1,4688.48,10,4219.63
ITEM000404,TXN000135,PROD0189,3,1095.86,10,2958.82
ITEM000405,TXN000135,PROD0238,4,1537.85,10,5536.26
ITEM000406,TXN000135,PROD0142,1,1751.09,15,1488.43
ITEM000407,TXN000135,PROD0411,3,1980.57,10,5347.54
ITEM000408,TXN000136,PROD0193,3,1837.55,5,5237.02
ITEM000409,TXN000136,PROD0325,3,1976.6,5,5633.31
ITEM000410,TXN000137,PROD0247,2,4010.33,5,7619.63
ITEM000411,TXN000138,PROD0201,2,1071.49,5,2035.83
ITEM000412,TXN000139,PROD0360,2,2869.95,0,5739.9
ITEM000413,TXN000139,PROD0290,4,1762.0,5,6695.6
ITEM000414,TXN000139,PROD0210,1,4520.8,5,4294.76
ITEM000415,TXN000140,PROD0004,2,1176.77,10,2118.19
ITEM000416,TXN000140,PROD0032,1,2935.07,10,2641.56
ITEM000417,TXN000141,PROD0320,4,1466.11,10,5278.0
ITEM000418,TXN000141,PROD0459,3,3303.94,5,9416.23
ITEM000419,TXN000141,PROD0303,2,1843.99,15,3134.78
ITEM000420,TXN000141,PROD0072,1,4740.59,15,4029.5
ITEM000421,TXN000141,PROD0346,3,1114.74,5,3177.01
ITEM000422,TXN000142,PROD0102,4,2957.76,5,11239.49
ITEM000423,TXN000142,PROD0201,2,1071.49,10,1928.68
ITEM000424,TXN000142,PROD0069,4,4547.52,15,15461.57
